(45.2934077311+0j),(4.69162092488+0j),(-5.47368345701+0j),(4.25157481323+0j),(-11.5623793792+0j),(-4.36965393568+0j),(-6.95811789541+0j),(4.369364266+0j),(5.87422984577+0j),(6.01578277679+0j),(-2.832406805+0j),(-3.65722032434+0j),(-6.97199849424+0j),(0.598765662452+0j),(0.114845992698+0j),(-0.384197403495+0j),(-0.814819107021+0j),(3.33557979908+0j),(1.19887489593+0j),(1.18038187466+0j),(0.725542286389+0j),(0.0564541355108+0j),(2.65385140591+0j),(-2.44641493372+0j),(-0.832835477397+0j),(0.633432259027+0j),(2.13920901073+0j),(-1.94021602092+0j),(-0.807480209096+0j),(-0.0613470970008+0j),(-1.68157828721+0j),(-0.429673948134+0j),(1.06133255169+0j),(-0.592876825508+0j),(-1.57479847434+0j),(-1.33724601258+0j),(1.0214218777+0j),(-0.268020213583+0j),(2.37068539701+0j),(0.177163479544+0j),(0.165483201951+0j),(0.572742038176+0j),(0.104723492916+0j),(-0.748315724666+0j),(-0.517463297355+0j),(-0.167634940223+0j),(-0.680341100686+0j),(-3.33066907388e-15+0j),(2.08999484386e-14+0j),(5.00294250472e-14+0j),(7.87564458093e-15+0j),(-2.79585382623e-14+0j),(-2.79776202206e-14+0j),(1.87627691162e-14+0j),(2.44110287539e-14+0j),(1.98174809896e-14+0j),(1.22263310587e-14+1.08246744901e-14j),(1.22263310587e-14-1.08246744901e-14j),(-2.74225087082e-14+0j),(-2.54241072639e-14+0j),(-2.20379270388e-14+0j),(-1.86517468137e-14+0j),(5.16253706451e-15+1.50990331349e-14j),(5.16253706451e-15-1.50990331349e-14j),(-5.21804821574e-15-1.37667655054e-14j),(-5.21804821574e-15+1.37667655054e-14j),(5.13478148889e-16+0j),(5.21804821574e-15-4.13558076673e-15j),(5.21804821574e-15+4.13558076673e-15j),(8.881784197e-15+2.34361141604e-15j),(8.881784197e-15-2.34361141604e-15j),(-1.49880108324e-15+3.17801340799e-15j),(-1.49880108324e-15-3.17801340799e-15j),(1.36869682255e-14-2.46330733589e-16j),(1.36869682255e-14+2.46330733589e-16j)
(-26.7213337674+0j),(-3.21432830358+0j),(7.06685375102+0j),(5.25775584685+0j),(-2.25149108664+0j),(-16.823934245+0j),(14.4957764377+0j),(1.96322670051+0j),(-5.05368523832+0j),(7.2231984305+0j),(-1.15900824279+0j),(-3.02441857916+0j),(2.30769462395+0j),(2.8480144003+0j),(1.06397543884+0j),(-2.17933315948+0j),(3.80391390493+0j),(1.86603837707+0j),(2.49330530321+0j),(6.03443561697+0j),(4.07384000904+0j),(3.54907849236+0j),(-0.557863748357+0j),(0.0920195611146+0j),(2.14909179734+0j),(-0.477116466628+0j),(-1.26821876589+0j),(-0.288415195167+0j),(-0.411601066964+0j),(0.86094033128+0j),(0.275533906813+0j),(-0.964563099996+0j),(-0.958355105032+0j),(3.29541141267+0j),(0.104585091651+0j),(0.925006820725+0j),(0.0900752593568+0j),(-0.270640909738+0j),(0.198219328671+0j),(-0.740769400141+0j),(-0.632726051057+0j),(-0.138200872925+0j),(-0.63493800225+0j),(-0.212542764477+0j),(0.101194606979+0j),(-0.135892860501+0j),(-0.109087704037+0j),(6.90558721317e-14+0j),(2.67563748935e-14+0j),(-1.33226762955e-14+0j),(-4.1522341121e-14+0j),(-2.55871712707e-15+0j),(1.38777878078e-14+0j),(2.43138842393e-14+0j),(1.07552855511e-14+0j),(-1.66533453694e-15+0j),(4.02455846427e-15+6.43929354283e-15j),(4.02455846427e-15-6.43929354283e-15j),0j,(-5.60662627436e-15+0j),(-1.11022302463e-16+0j),(-1.19348975147e-15+0j),(2.6645352591e-15+2.56739074445e-15j),(2.6645352591e-15-2.56739074445e-15j),(5.6898930012e-15+1.56472057533e-15j),(5.6898930012e-15-1.56472057533e-15j),(1.86517468137e-14+0j),(-3.33066907388e-15-3.76434994287e-15j),(-3.33066907388e-15+3.76434994287e-15j),(3.33066907388e-15+6.93889390391e-16j),(3.33066907388e-15-6.93889390391e-16j),(6.66133814775e-16-1.97064586871e-15j),(6.66133814775e-16+1.97064586871e-15j),(-9.71445146547e-15+4.9318188422e-15j),(-9.71445146547e-15-4.9318188422e-15j)
(-54.3000690206+0j),(28.2845871295+0j),(-6.92498407035+0j),(7.03939252149+0j),(2.26370546356+0j),(3.31775881336+0j),(3.57577114434+0j),(6.31112325637+0j),(11.5973607185+0j),(-7.72279021471+0j),(-12.2073599002+0j),(0.743911262608+0j),(3.66017278287+0j),(-0.272257890695+0j),(12.2021852385+0j),(-2.2547335648+0j),(1.37293169327+0j),(1.85947796281+0j),(-0.0551965001925+0j),(0.424046050708+0j),(-2.42487177027+0j),(0.625707123348+0j),(-1.63711579294+0j),(-0.976964719014+0j),(0.0734516660997+0j),(3.08283206547+0j),(-0.368034472609+0j),(0.35967714168+0j),(-0.0938769389583+0j),(-0.120357159391+0j),(-0.124746826614+0j),(-0.00831974969702+0j),(0.20649529195+0j),(-0.0180908946292+0j),(0.367200628879+0j),(0.0635136859808+0j),(-0.152162966906+0j),(-0.213766320863+0j),(-0.000428483367651+0j),(-0.0397293163908+0j),(-0.00789061539589+0j),(0.0273085728023+0j),(0.031159631704+0j),(0.0241434260702+0j),(-0.00014104991736+0j),(-0.00923789944532+0j),(-0.00336717690035+0j),(-1.04360964315e-14+0j),(3.41671135828e-14+0j),(1.49880108324e-15+0j),(-2.94209101526e-14+0j),(7.14289738468e-14+0j),(-3.24740234703e-15+0j),(-6.09234884763e-15+0j),(8.82627304577e-15+0j),(1.25455201783e-14+0j),(-1.00058850094e-14-1.16573417586e-14j),(-1.00058850094e-14+1.16573417586e-14j),(2.28428387317e-14+0j),(1.7763568394e-14+0j),(1.70974345792e-14+0j),(1.28785870857e-14+0j),(-4.88498130835e-15-6.9250161161e-15j),(-4.88498130835e-15+6.9250161161e-15j),(2.24265050974e-14+0j),(2.24265050974e-14+0j),(2.21489493413e-14+0j),(3.0253577421e-15-5.55111512313e-16j),(3.0253577421e-15+5.55111512313e-16j),(-8.99280649946e-15-2.58126853225e-15j),(-8.99280649946e-15+2.58126853225e-15j),(1.99146255042e-15-2.96984659087e-15j),(1.99146255042e-15+2.96984659087e-15j),(-7.32747196253e-15+5.55111512313e-17j),(-7.32747196253e-15-5.55111512313e-17j)
(-30.8389288709+0j),(-5.62229655648+0j),(11.0676023032+0j),(0.688274524484+0j),(3.51423098314+0j),(-4.40311388494+0j),(-10.7687248707+0j),(7.47219148607+0j),(-6.35305495296+0j),(1.40665157433+0j),(-6.13594056859+0j),(3.92595051997+0j),(1.40039575131+0j),(-3.52351903865+0j),(-0.365035762116+0j),(0.0306586445164+0j),(2.16928769396+0j),(-1.1643142158+0j),(0.819764081097+0j),(0.0993610193415+0j),(3.05866715247+0j),(-0.252423492083+0j),(2.61578940637+0j),(3.46714567395+0j),(-1.7711743688+0j),(-0.41587112688+0j),(-0.51692727239+0j),(3.0017746839+0j),(-0.559486370832+0j),(-4.36620735625+0j),(-4.1997951244+0j),(3.16844233695+0j),(-0.527411463393+0j),(-0.20685400766+0j),(0.416135007801+0j),(-0.61137141452+0j),(0.271179693566+0j),(-0.299140139004+0j),(-0.154124831565+0j),(-0.36328388141+0j),(-0.0136899476516+0j),(0.219784415347+0j),(0.250355681462+0j),(-0.095596477686+0j),(0.0494891731125+0j),(-0.120502991334+0j),(-0.00330864064972+0j),(-1.06692432666e-13+0j),(-8.37177549506e-15+0j),(6.73905375947e-14+0j),(1.45994327738e-14+0j),(-2.209343819e-14+0j),(5.93969318174e-15+0j),(2.72698530424e-14+0j),(-2.75335310107e-14+0j),(-1.46549439251e-14+0j),(-5.80646641879e-14-3.08642000846e-14j),(-5.80646641879e-14+3.08642000846e-14j),(5.90638649101e-14+0j),(2.88657986403e-14+0j),(1.1768364061e-14+0j),(9.57567358739e-15+0j),(-2.92682544867e-14+1.66533453694e-16j),(-2.92682544867e-14-1.66533453694e-16j),(9.13158437754e-15+1.32949207199e-14j),(9.13158437754e-15-1.32949207199e-14j),(2.34257058196e-14+0j),(-4.99600361081e-15+2.3037127761e-15j),(-4.99600361081e-15-2.3037127761e-15j),(-1.53210777398e-14-1.38777878078e-14j),(-1.53210777398e-14+1.38777878078e-14j),(9.88098491916e-15+2.34534613952e-15j),(9.88098491916e-15-2.34534613952e-15j),(-1.95399252334e-14-4.8136408054e-15j),(-1.95399252334e-14+4.8136408054e-15j)
(-23.9706255514+0j),(-9.50694953916+0j),(8.55366524761+0j),(-5.28486034686+0j),(1.9366152834+0j),(-7.46676813419+0j),(-7.57124446853+0j),(7.88815971492+0j),(-4.06826274186+0j),(-0.827727315506+0j),(-5.35615382524+0j),(5.23579622519+0j),(-0.565867208681+0j),(-3.33122958831+0j),(-2.67376150885+0j),(0.232351910463+0j),(0.595082786142+0j),(-0.257487965464+0j),(0.989097217627+0j),(0.215081295979+0j),(-1.27505676589+0j),(-1.63237125318+0j),(-1.05789262619+0j),(-0.365403982181+0j),(-0.573860960884+0j),(0.311295765797+0j),(1.50249156737+0j),(-1.72744431725+0j),(-1.21759254208+0j),(1.58147091007+0j),(1.63251328934+0j),(-0.360920739495+0j),(-0.263321032016+0j),(-0.825189923124+0j),(-0.729420778054+0j),(0.723097143035+0j),(1.36976732573+0j),(-0.0925587880458+0j),(1.06740700704+0j),(0.686803071226+0j),(0.108051939619+0j),(-1.95461145088+0j),(-0.572335595372+0j),(0.543992286623+0j),(-0.00140636775091+0j),(-1.14477999792+0j),(0.697022655004+0j),(3.90243393156e-14+0j),(2.29538610341e-14+0j),(3.17523785043e-14+0j),(-1.88182802674e-14+0j),(-1.12271303365e-14+0j),(-5.73707747975e-14+0j),(-6.93889390391e-15+0j),(1.24344978758e-14+0j),(2.99760216649e-15+0j),(2.83939538548e-14+1.07969189145e-14j),(2.83939538548e-14-1.07969189145e-14j),(-7.52176099184e-15+0j),(3.66373598126e-15+0j),(7.14706072102e-15+0j),(-1.36002320517e-14+0j),(1.64313007645e-14+1.36557432029e-14j),(1.64313007645e-14-1.36557432029e-14j),(1.22124532709e-15+4.16333634234e-15j),(1.22124532709e-15-4.16333634234e-15j),(-4.13558076673e-15+0j),(-9.0483176507e-15-3.13638004457e-15j),(-9.0483176507e-15+3.13638004457e-15j),(1.45716771982e-14+1.51822998617e-14j),(1.45716771982e-14-1.51822998617e-14j),(-6.93889390391e-16-2.32452945781e-15j),(-6.93889390391e-16+2.32452945781e-15j),(1.12965192756e-14+5.03763697424e-15j),(1.12965192756e-14-5.03763697424e-15j)
(-1.99977343198+0j),(-22.521183219+0j),(-5.14748068432+0j),(-4.5086746657+0j),(3.79770010626+0j),(6.56386224224+0j),(1.47432617176+0j),(-0.415206529616+0j),(5.17857754476+0j),(6.72357442791+0j),(-5.5126214091+0j),(3.87341764744+0j),(3.56430462465+0j),(4.16914600586+0j),(-1.292610637+0j),(1.41930825255+0j),(-0.198667744896+0j),(-4.40478946496+0j),(0.449618575411+0j),(0.500317276371+0j),(0.333222822173+0j),(0.152463835086+0j),(0.0986539995553+0j),(1.34392108328+0j),(-0.198335567333+0j),(0.535946833769+0j),(0.618804277033+0j),(-1.85546968033+0j),(2.1856614992+0j),(1.71683027366+0j),(0.366043586331+0j),(0.954883437765+0j),(-0.430255874526+0j),(0.823351016065+0j),(2.21103274114+0j),(0.126071236167+0j),(2.74449991268+0j),(1.77213721838+0j),(-0.798767509904+0j),(1.09846401475+0j),(0.786136831291+0j),(1.23227620692+0j),(0.0118675306952+0j),(-0.549169578551+0j),(-0.103091122279+0j),(-0.272779750166+0j),(-0.0676159821225+0j),(-1.32671651443e-14+0j),(-1.8488682807e-14+0j),(-2.06640260458e-14+0j),(1.95538030212e-14+0j),(-5.16253706451e-15+0j),(-1.02140518266e-14+0j),(-7.13318293322e-15+0j),(-2.10942374679e-15+0j),(4.9682480352e-15+0j),(-1.23928645124e-14-4.89885909616e-15j),(-1.23928645124e-14+4.89885909616e-15j),(2.70200528618e-14+0j),(2.40328590362e-14+0j),(1.33920652345e-14+0j),(-7.41073868937e-15+0j),(1.63757896132e-15+2.77555756156e-15j),(1.63757896132e-15-2.77555756156e-15j),(9.15933995316e-15-4.91273688397e-15j),(9.15933995316e-15+4.91273688397e-15j),(1.66741620511e-14+0j),(-4.0800696155e-15-2.50494069931e-15j),(-4.0800696155e-15+2.50494069931e-15j),(4.13558076673e-15+7.02216063075e-15j),(4.13558076673e-15-7.02216063075e-15j),(1.27675647832e-15-3.33066907388e-16j),(1.27675647832e-15+3.33066907388e-16j),(9.82547376793e-15+8.27116153346e-15j),(9.82547376793e-15-8.27116153346e-15j)
(-16.5134713895+0j),(-13.3138675716+0j),(5.97717069315+0j),(0.642081168183+0j),(8.04808885685+0j),(-4.68382417721+0j),(-10.8173903355+0j),(2.49148700645+0j),(2.22726146389+0j),(-4.01148978911+0j),(0.702919577939+0j),(-0.25318129169+0j),(-1.06247013395+0j),(2.80131695996+0j),(-1.37138360781+0j),(-0.197166109693+0j),(-0.827536969473+0j),(-2.59199610942+0j),(-1.97659171932+0j),(-2.78542761808+0j),(-3.40367952104+0j),(2.24791072267+0j),(0.85854726277+0j),(-2.80015214486+0j),(-0.414302954742+0j),(-1.84028112232+0j),(0.489246027686+0j),(1.897057793+0j),(5.02758040885+0j),(0.322404716209+0j),(-0.161223754102+0j),(-0.252322442163+0j),(1.01244656735+0j),(1.28310914171+0j),(1.39816971607+0j),(-0.798849071326+0j),(0.231756758863+0j),(0.719979936816+0j),(1.04982851604+0j),(-1.52565422916+0j),(-1.6558810929+0j),(-0.553853497786+0j),(-0.718127270563+0j),(-0.299459343871+0j),(0.154766343789+0j),(0.13361016731+0j),(-0.0751900614416+0j),(4.0800696155e-15+0j),(3.04201108747e-14+0j),(2.31065167e-14+0j),(4.64489557928e-14+0j),(-2.99205105136e-14+0j),(7.29416527179e-14+0j),(2.62567745324e-14+0j),(6.2894134345e-14+0j),(6.51700915455e-14+0j),(4.66293670343e-14+3.41948691585e-14j),(4.66293670343e-14-3.41948691585e-14j),(-1.85407245112e-14+0j),(1.19348975147e-14+0j),(2.53685961127e-14+0j),(4.52970994047e-14+0j),(-3.59157148466e-14-3.13672698926e-14j),(-3.59157148466e-14+3.13672698926e-14j),(2.02060590482e-14+1.18793863635e-14j),(2.02060590482e-14-1.18793863635e-14j),(-3.88578058619e-16+0j),(1.15324416683e-14+1.13797860024e-15j),(1.15324416683e-14-1.13797860024e-15j),(-1.79023462721e-14-1.14491749414e-14j),(-1.79023462721e-14+1.14491749414e-14j),(-4.29170587957e-15-3.46944695195e-18j),(-4.29170587957e-15+3.46944695195e-18j),(-1.99840144433e-14-6.52256026967e-15j),(-1.99840144433e-14+6.52256026967e-15j)
(-24.6273929642+0j),(-7.90010731564+0j),(9.81518643225+0j),(0.190443992605+0j),(3.76860202449+0j),(-5.10743701655+0j),(-13.6409212311+0j),(8.34256276122+0j),(-4.19509959867+0j),(-0.383017987582+0j),(-5.05066802308+0j),(3.94175002462+0j),(-0.422824269355+0j),(-3.90520076831+0j),(-4.39435035752+0j),(-0.914660130492+0j),(0.640383719718+0j),(0.747896340709+0j),(1.27049564455+0j),(0.391863367352+0j),(-1.24539649626+0j),(-1.05003163397+0j),(-1.76186554332+0j),(-0.579199163205+0j),(0.804014857981+0j),(-0.0653923389003+0j),(-0.0830447044351+0j),(-1.51737255486+0j),(0.881454383561+0j),(1.93562841418+0j),(2.14953064193+0j),(-1.29447347827+0j),(-0.197904018503+0j),(1.05461375555+0j),(0.947376760885+0j),(0.240521142135+0j),(-1.33595507562+0j),(-0.978953088797+0j),(-0.253463023786+0j),(-0.796094775903+0j),(0.857333108986+0j),(0.548418728462+0j),(1.84439270552+0j),(0.116667348498+0j),(-0.465591080378+0j),(0.766237710891+0j),(-0.503245088836+0j),(-4.77118344833e-14+0j),(-2.58265631103e-14+0j),(5.19029264012e-15+0j),(-1.26496035868e-14+0j),(1.22905158273e-14+0j),(-5.63438184997e-15+0j),(-1.1768364061e-14+0j),(3.49720252757e-15+0j),(2.52575738102e-15+0j),(-2.46330733589e-15-4.9682480352e-15j),(-2.46330733589e-15+4.9682480352e-15j),(-7.9936057773e-15+0j),(-1.98452365652e-14+0j),(-2.68535194081e-14+0j),(-2.10942374679e-14+0j),(-2.94209101526e-15+4.21884749358e-15j),(-2.94209101526e-15-4.21884749358e-15j),(3.46944695195e-15-1.25455201783e-14j),(3.46944695195e-15+1.25455201783e-14j),(9.88098491916e-15+0j),(1.02140518266e-14-1.30451205393e-15j),(1.02140518266e-14+1.30451205393e-15j),(-1.20736753928e-14+1.2351231149e-15j),(-1.20736753928e-14-1.2351231149e-15j),(-9.99200722163e-15+1.43635103811e-15j),(-9.99200722163e-15-1.43635103811e-15j),(-3.88578058619e-15-4.94049245958e-15j),(-3.88578058619e-15+4.94049245958e-15j)
(-44.1679193547+0j),(17.4102994418+0j),(10.4639916482+0j),(9.38355635845+0j),(-3.71854980524+0j),(10.9845187388+0j),(-0.233100742618+0j),(0.75310948932+0j),(3.91995262877+0j),(-0.945198120462+0j),(3.26214895553+0j),(8.78752448673+0j),(-3.75311535762+0j),(3.03347424949+0j),(-2.20538954276+0j),(0.770831675201+0j),(0.351147923824+0j),(0.0790198448538+0j),(-0.992217622955+0j),(0.232233749448+0j),(1.9077009535+0j),(0.965972443768+0j),(1.6123617047+0j),(0.121260341517+0j),(1.18638924612+0j),(0.903612290562+0j),(1.75216009757+0j),(1.45237207544+0j),(-0.321098754319+0j),(-0.52614636749+0j),(0.112974888447+0j),(0.0703156015715+0j),(-1.08481328544+0j),(0.372275660075+0j),(-1.24856959292+0j),(1.88480394824+0j),(-0.253459039027+0j),(1.28713284447+0j),(-0.355689565366+0j),(0.984202469932+0j),(-0.000259032710489+0j),(-1.31181674407+0j),(-0.647361214624+0j),(-0.122726366492+0j),(-0.909255449412+0j),(0.975748932662+0j),(-0.567571195706+0j),(7.71882557871e-14+0j),(-6.3976601794e-15+0j),(-7.17204073908e-14+0j),(-5.00294250472e-14+0j),(2.55004350969e-14+0j),(4.84057238737e-14+0j),(1.83741910575e-14+0j),(9.52016243616e-15+0j),(1.60219060241e-14+0j),(-1.13242748512e-14+1.1768364061e-14j),(-1.13242748512e-14-1.1768364061e-14j),(1.11022302463e-16+0j),(-1.31838984174e-14+0j),(-1.59733337668e-14+0j),(-1.39888101103e-14+0j),(-3.58046925442e-15-1.24761312392e-14j),(-3.58046925442e-15+1.24761312392e-14j),(-5.41233724505e-15-9.27036225562e-15j),(-5.41233724505e-15+9.27036225562e-15j),(1.23789867246e-14+0j),(-9.99200722163e-16-8.74300631892e-16j),(-9.99200722163e-16+8.74300631892e-16j),(-6.2172489379e-15-3.34454686168e-15j),(-6.2172489379e-15+3.34454686168e-15j),(3.27515792264e-15-7.42461647718e-16j),(3.27515792264e-15+7.42461647718e-16j),(-1.3608905669e-14-2.91433543964e-15j),(-1.3608905669e-14+2.91433543964e-15j)
(-40.6159812569+0j),(9.04284687067+0j),(13.0216160031+0j),(7.76116542447+0j),(-3.51598207673+0j),(6.13242993069+0j),(-5.12892530724+0j),(4.69546493262+0j),(-6.52815913767+0j),(7.26902615622+0j),(2.08114759843+0j),(-2.01141738288+0j),(1.10097934959+0j),(3.5572219014+0j),(5.90087430667+0j),(-4.00202436553+0j),(-3.09320530238+0j),(-2.4425617708+0j),(-0.160052506107+0j),(-3.40886463266+0j),(0.446584135901+0j),(-1.63160279107+0j),(0.148579703293+0j),(-0.73259387148+0j),(1.08890358211+0j),(-3.65011604404+0j),(2.70432166461+0j),(0.715324014703+0j),(-1.18755678939+0j),(-0.781538152306+0j),(2.76166902554+0j),(-0.0970275875174+0j),(0.0281227397553+0j),(-1.03603112601+0j),(-1.31696160697+0j),(1.46667568988+0j),(-0.473802839215+0j),(0.281730358096+0j),(-0.32681383877+0j),(0.0437705603156+0j),(-1.03494130468+0j),(1.23284670141+0j),(0.454542779111+0j),(-0.297060153798+0j),(0.0261821012792+0j),(-0.597382030315+0j),(0.0685659857107+0j),(-2.67286193179e-14+0j),(2.25652829755e-14+0j),(9.9364960704e-15+0j),(4.79408179821e-14+0j),(-1.51892387557e-14+0j),(1.76247905159e-14+0j),(-4.94049245958e-14+0j),(-2.34257058196e-14+0j),(-1.12132525487e-14+0j),(1.94289029309e-15-9.65894031424e-15j),(1.94289029309e-15+9.65894031424e-15j),(3.68594044176e-14+0j),(4.38538094727e-14+0j),(4.13558076673e-14+0j),(2.57571741713e-14+0j),(-2.17187379192e-14-4.63518112781e-15j),(-2.17187379192e-14+4.63518112781e-15j),(3.45695694293e-14+4.10782519111e-15j),(3.45695694293e-14-4.10782519111e-15j),(2.1371793224e-14+0j),(1.27675647832e-15+1.6028844918e-15j),(1.27675647832e-15-1.6028844918e-15j),(-1.04638520071e-14-1.16573417586e-15j),(-1.04638520071e-14+1.16573417586e-15j),(-3.27515792264e-15-1.4294121442e-15j),(-3.27515792264e-15+1.4294121442e-15j),(-7.21644966006e-15+1.07032438468e-15j),(-7.21644966006e-15-1.07032438468e-15j)
(-19.5239032934+0j),(-23.1252754147+0j),(0.721355784867+0j),(2.01030396692+0j),(12.1000778564+0j),(7.67854047928+0j),(-10.4315337023+0j),(-5.11266163859+0j),(4.58738129781+0j),(2.34700078273+0j),(4.21949111669+0j),(-4.00918493264+0j),(1.86107395372+0j),(-2.75015370562+0j),(-0.236954959973+0j),(1.50005122151+0j),(-4.93407480641+0j),(0.775808113015+0j),(4.43193184452+0j),(7.66004027386+0j),(-5.45801039523+0j),(-3.60644509313+0j),(-0.729332288487+0j),(-1.74718883254+0j),(3.2658180705+0j),(-0.313479883025+0j),(-0.476108862009+0j),(2.01128345342+0j),(-2.13559596845+0j),(-1.92910647731+0j),(-0.506116043651+0j),(0.231381404515+0j),(-0.146956090297+0j),(0.685187498681+0j),(0.34363079398+0j),(0.200059887519+0j),(0.183916006026+0j),(0.330172367903+0j),(0.0399298395803+0j),(0.114958000365+0j),(0.0407415871713+0j),(-0.109754238038+0j),(-0.211028603024+0j),(-0.11006559746+0j),(0.0725532124912+0j),(0.0579032656143+0j),(0.00535456286908+0j),(4.28546087505e-14+0j),(2.17603712827e-14+0j),(-3.9857006584e-14+0j),(-1.1990408666e-14+0j),(3.51940698806e-14+0j),(4.92939022934e-14+0j),(8.38218383592e-15+0j),(8.68749516769e-15+0j),(8.25034485175e-15+0j),(-9.85322934355e-15-1.28785870857e-14j),(-9.85322934355e-15+1.28785870857e-14j),(2.15383266777e-14+0j),(1.85684800869e-14+0j),(7.21644966006e-15+0j),(3.58046925442e-15+0j),(8.13238365538e-15-1.14908083049e-14j),(8.13238365538e-15+1.14908083049e-14j),(8.90953977262e-15-2.72004641033e-15j),(8.90953977262e-15+2.72004641033e-15j),(7.49400541622e-15+0j),(-2.94209101526e-15-2.60208521397e-15j),(-2.94209101526e-15+2.60208521397e-15j),(3.0184188482e-15-3.60822483003e-15j),(3.0184188482e-15+3.60822483003e-15j),(3.77475828373e-15+1.38777878078e-15j),(3.77475828373e-15-1.38777878078e-15j),(-1.2490009027e-15+2.10942374679e-15j),(-1.2490009027e-15-2.10942374679e-15j)
(-24.5251414839+0j),(-17.0954312471+0j),(7.32399384242+0j),(2.20680531226+0j),(14.0017090217+0j),(-1.03280043191+0j),(-15.3152014669+0j),(-2.20412747038+0j),(4.37489681046+0j),(-5.31755642802+0j),(5.79737367046+0j),(-2.92270700767+0j),(-1.22965169989+0j),(1.66904253391+0j),(3.70845124314+0j),(-0.796884691597+0j),(-0.554726955135+0j),(-1.00944670157+0j),(0.767231000813+0j),(0.35328883248+0j),(3.5878408407+0j),(0.950821367484+0j),(0.442658394017+0j),(2.72587941583+0j),(0.243624084514+0j),(0.503035217321+0j),(1.41725244509+0j),(-1.1187868165+0j),(0.907394735314+0j),(2.08716543539+0j),(-0.536529570474+0j),(-1.79927856307+0j),(-3.12805960703+0j),(-0.114206870509+0j),(-2.54844069203+0j),(-2.60301218457+0j),(-0.000177826998505+0j),(-0.309079380225+0j),(-1.16417755406+0j),(-0.415068991484+0j),(0.700585251144+0j),(0.138208176581+0j),(-0.420186172798+0j),(0.162521982824+0j),(0.132699874035+0j),(-0.123572152016+0j),(0.0995213844414+0j),(-9.79771819232e-15+0j),(-1.22436782934e-14+0j),(-1.34527805562e-14+0j),(-4.62130334e-15+0j),(1.12930498286e-15+0j),(-3.45556916415e-14+0j),(7.27196081129e-15+0j),(1.62370117351e-14+0j),(1.88737914186e-14+0j),(-1.29479760247e-14+1.83186799063e-15j),(-1.29479760247e-14-1.83186799063e-15j),(2.23709939462e-14+0j),(1.55431223448e-14+0j),(1.17128529098e-14+0j),(-9.99200722163e-16+0j),(-2.03725925019e-14-1.55431223448e-15j),(-2.03725925019e-14+1.55431223448e-15j),(1.1990408666e-14-7.35522753814e-15j),(1.1990408666e-14+7.35522753814e-15j),(2.21211937657e-14+0j),(1.01030295241e-14+6.66133814775e-16j),(1.01030295241e-14-6.66133814775e-16j),(-1.65700786425e-14+3.24740234703e-15j),(-1.65700786425e-14-3.24740234703e-15j),(-1.47243328641e-14-4.32986979604e-15j),(-1.47243328641e-14+4.32986979604e-15j),(-5.98826543907e-15-3.87537224533e-15j),(-5.98826543907e-15+3.87537224533e-15j)
(-46.8028405377+0j),(19.4487357249+0j),(12.1717482079+0j),(11.094461198+0j),(-4.33697645166+0j),(8.69291674256+0j),(0.867285185223+0j),(-2.89555648954+0j),(2.29700425962+0j),(-0.0642159071342+0j),(4.46592682308+0j),(4.77139489445+0j),(-3.14928859273+0j),(1.03308456456+0j),(-2.63043216912+0j),(0.740828884617+0j),(1.2630789052+0j),(1.00681014709+0j),(-0.0937264788479+0j),(1.36248392618+0j),(1.314151947+0j),(2.36791990132+0j),(0.269608074303+0j),(0.167011900649+0j),(0.733607849439+0j),(0.773019456666+0j),(0.161508690684+0j),(0.631010388616+0j),(0.163959136944+0j),(-0.195483087643+0j),(0.423424942396+0j),(-0.374405982704+0j),(0.956394421297+0j),(0.262688817289+0j),(1.45141241609+0j),(-1.0407640508+0j),(-2.24769828745+0j),(1.34353383752+0j),(2.01719101802+0j),(0.290277054142+0j),(1.2548464909+0j),(0.885996670579+0j),(0.193377802386+0j),(0.439367711358+0j),(0.972893254706+0j),(-0.522550966853+0j),(0.527912778471+0j),(-1.27675647832e-14+0j),(1.16850973342e-14+0j),(3.39173134023e-14+0j),(-1.6320278462e-14+0j),(2.31897834269e-14+0j),(-2.23709939462e-14+0j),(-3.01564329064e-14+0j),(-4.68236560636e-14+0j),(-2.67563748935e-14+0j),(-2.12607709216e-14-3.77475828373e-14j),(-2.12607709216e-14+3.77475828373e-14j),(4.09672296087e-14+0j),(4.26880752968e-14+0j),(3.79279940788e-14+0j),(2.43138842393e-14+0j),(-1.87350135405e-14-1.22228616117e-14j),(-1.87350135405e-14+1.22228616117e-14j),(2.32869279415e-14+3.33066907388e-16j),(2.32869279415e-14-3.33066907388e-16j),(1.02695629778e-14+0j),(1.3211653993e-14+2.90045765183e-15j),(1.3211653993e-14-2.90045765183e-15j),(-2.13162820728e-14+3.09127723419e-15j),(-2.13162820728e-14-3.09127723419e-15j),(-1.43773881689e-14-1.90472637662e-15j),(-1.43773881689e-14+1.90472637662e-15j),(2.56739074445e-16+4.02455846427e-16j),(2.56739074445e-16-4.02455846427e-16j)
