(-12.0383005344+0j),(-11.3412466908+0j),(-6.76583585886+0j),(14.645657579+0j),(-1.48381037947+0j),(-5.6460025037+0j),(-5.07198329301+0j),(5.26875140156+0j),(-1.68916426549+0j),(5.59783472871+0j),(3.44475819054+0j),(1.91458366806+0j),(-0.894039266943+0j),(0.85276501822+0j),(3.11446682908+0j),(2.69197734795+0j),(-3.53415937002+0j),(2.33862106121+0j),(-1.10993584304+0j),(0.382239329548+0j),(-3.62745244699+0j),(-0.123989512798+0j),(1.08428636939+0j),(-2.10261394048+0j),(-1.08236648026+0j),(0.325191568185+0j),(1.31604461572+0j),(0.0163663786191+0j),(-0.27058190302+0j),(0.183820018192+0j),(0.178277882472+0j),(-0.586958457687+0j),(0.0184032680322+0j),(1.12347424289+0j),(-0.261202791232+0j),(0.387997124942+0j),(0.669678528553+0j),(0.732675366932+0j),(-1.04557405168+0j),(-0.0462216159931+0j),(-0.31309709828+0j),(-0.5127321936+0j),(-0.771623726223+0j),(0.35517679002+0j),(1.41924680406+0j),(-0.0263420955367+0j),(1.03576223248+0j),(3.17055409704e-14+0j),(-1.87905246918e-14+0j),(2.82031342724e-14+0j),(-1.02723385353e-13+0j),(9.29811783124e-14+0j),(3.28348459533e-14+0j),(-5.50991544057e-14+0j),(6.07847105982e-15+0j),(-3.27654570142e-14+0j),(2.40363284831e-14+0j),(-4.83502127224e-14+0j),(2.59514632006e-14+0j),(-3.1558089475e-14+0j),(3.44724249146e-14+0j),(2.91433543964e-16+2.40640840588e-14j),(2.91433543964e-16-2.40640840588e-14j),(-2.08305594995e-14-5.34121358253e-15j),(-2.08305594995e-14+5.34121358253e-15j),(7.69523333943e-15-7.65706942296e-15j),(7.69523333943e-15+7.65706942296e-15j),(6.28663787694e-15-2.22738494315e-14j),(6.28663787694e-15+2.22738494315e-14j),(1.26530730338e-14+0j),(-6.22765727876e-15+3.65679708736e-15j),(-6.22765727876e-15-3.65679708736e-15j),(-4.02455846427e-15-7.58074159002e-15j),(-4.02455846427e-15+7.58074159002e-15j),(-8.08381139805e-15-1.45716771982e-16j)
(55.2456364364+0j),(27.220265092+0j),(-0.730269580364+0j),(-6.50787257898+0j),(-4.20218551706+0j),(-18.0513424594+0j),(-5.48975164054+0j),(-0.0592906073064+0j),(13.4012454608+0j),(-8.30068132742+0j),(-1.06405515127+0j),(-1.1453335987+0j),(-2.30955433307+0j),(-6.53799167934+0j),(-0.789760519851+0j),(0.810941604323+0j),(2.68722893575+0j),(0.30031373499+0j),(-0.385633808996+0j),(-0.743820705181+0j),(-3.96021298523+0j),(-5.88051216054+0j),(-2.52462562544+0j),(1.02409671013+0j),(1.10107909884+0j),(0.304826805033+0j),(0.523018695632+0j),(-0.755408067809+0j),(0.887934879361+0j),(1.0271716881+0j),(-0.963807409826+0j),(0.670835416264+0j),(0.553398181908+0j),(1.58382816108+0j),(-0.74848503328+0j),(-0.150504594824+0j),(1.14864143595+0j),(-0.0239122441439+0j),(0.0292781738744+0j),(-0.0546734333309+0j),(-0.0715084783158+0j),(0.0637577590923+0j),(0.0214241857956+0j),(-0.0604501004165+0j),(0.00641347871986+0j),(0.0202635227026+0j),(0.0251352896812+0j),(-2.3397950244e-14+0j),(1.07275299754e-14+0j),(1.85407245112e-14+0j),(2.41473507856e-15+0j),(-7.3149819535e-14+0j),(-1.1901590824e-13+0j),(3.78586051397e-14+0j),(-4.04884459293e-14+0j),(4.39648317752e-14+0j),(-3.70814490225e-14+0j),(-5.07371922254e-14+0j),(4.68514116392e-14+0j),(1.60427227058e-14+0j),(-1.98729921408e-14+0j),(-2.33146835171e-14-4.77395900589e-15j),(-2.33146835171e-14+4.77395900589e-15j),(-5.82867087928e-15-6.38378239159e-16j),(-5.82867087928e-15+6.38378239159e-16j),(-4.76008121808e-15+2.1371793224e-15j),(-4.76008121808e-15-2.1371793224e-15j),(-5.44009282066e-15+5.52335954751e-15j),(-5.44009282066e-15-5.52335954751e-15j),(-5.30131494259e-15+0j),(-2.16493489802e-15+8.39606162373e-15j),(-2.16493489802e-15-8.39606162373e-15j),(-6.41847686111e-15+1.62370117351e-15j),(-6.41847686111e-15-1.62370117351e-15j),(-8.54871728961e-15-3.37577188425e-15j)
(25.8591585823+0j),(-16.0862618957+0j),(9.51990506197+0j),(-0.705162932923+0j),(0.63194573724+0j),(10.8777937738+0j),(-3.49827203814+0j),(4.28512490586+0j),(3.22657292401+0j),(-1.76414322775+0j),(2.59531434999+0j),(-5.00035057306+0j),(-0.268897335925+0j),(-1.09558198443+0j),(0.454717495816+0j),(-0.19941826175+0j),(-3.6015347375+0j),(-5.05139469894+0j),(0.564017939953+0j),(0.292146749608+0j),(-0.519681590846+0j),(-1.14374147758+0j),(-1.02837082692+0j),(-0.11776898692+0j),(1.32284520285+0j),(0.362742309234+0j),(0.404951311739+0j),(-0.286729866195+0j),(0.0984347175344+0j),(-0.263382415989+0j),(0.360256197761+0j),(-0.732322062274+0j),(-1.0703312501+0j),(-1.14128816304+0j),(0.532483291246+0j),(-0.262025599247+0j),(-0.515158308489+0j),(-0.973441516317+0j),(-0.678582136532+0j),(0.711129132492+0j),(-0.544959119799+0j),(1.69903108313+0j),(0.49535172291+0j),(1.04704904567+0j),(0.839752565835+0j),(0.989009815278+0j),(-0.354165758087+0j),(-1.04976791149e-13+0j),(4.50646464589e-14+0j),(-1.23616394898e-14+0j),(1.79023462721e-14+0j),(1.45439216226e-14+0j),(2.10387263166e-14+0j),(1.22636276134e-14+0j),(2.73253641936e-14+0j),(-2.42861286637e-15+0j),(8.11850586757e-15+0j),(-1.60982338571e-14+0j),(5.10147479815e-14+0j),(-1.11299858219e-14+0j),(6.10622663544e-16+0j),(6.42541575502e-15-7.36910532595e-15j),(6.42541575502e-15+7.36910532595e-15j),(1.27536869954e-14-4.43221848112e-15j),(1.27536869954e-14+4.43221848112e-15j),(3.3653635434e-15+7.8999307096e-15j),(3.3653635434e-15-7.8999307096e-15j),(3.12250225676e-15+1.88182802674e-14j),(3.12250225676e-15-1.88182802674e-14j),(7.29624693996e-15+0j),(6.52602971662e-15+2.28983498829e-16j),(6.52602971662e-15-2.28983498829e-16j),(1.55431223448e-15+5.65172908473e-15j),(1.55431223448e-15-5.65172908473e-15j),(2.15105711021e-16+5.41233724505e-16j)
(3.38779442863+0j),(-20.6727185864+0j),(-5.31866520437+0j),(14.7647278056+0j),(3.1863167544+0j),(-9.10379249284+0j),(4.20454792398+0j),(-5.74140708118+0j),(-5.77867149293+0j),(2.89786009864+0j),(0.495809433792+0j),(-5.08547431078+0j),(3.05457732856+0j),(-3.1040285273+0j),(1.00092800085+0j),(0.0449184254333+0j),(1.99922538641+0j),(-1.80106770403+0j),(0.125624501361+0j),(1.68160937166+0j),(3.47426942134+0j),(-1.42996847064+0j),(-2.50309936664+0j),(1.051621112+0j),(1.71926969215+0j),(2.65557152257+0j),(0.777937725688+0j),(1.95321649441+0j),(-1.96873080207+0j),(-1.20335444577+0j),(0.640616926956+0j),(-0.731898314366+0j),(-2.74547912372+0j),(1.56356113554+0j),(-4.57834075714+0j),(-0.909230083328+0j),(-1.32439744553+0j),(0.298422433332+0j),(0.256912108116+0j),(0.413154312829+0j),(-0.289957619689+0j),(-0.171083043125+0j),(-0.102476057103+0j),(-0.174161005717+0j),(-0.0164703391153+0j),(0.036671057332+0j),(-0.0365087100859+0j),(3.82558568157e-14+0j),(-4.30940005902e-14+0j),(9.28875032447e-14+0j),(5.5094817597e-14+0j),(4.28546087505e-14+0j),(-2.46053177833e-14+0j),(1.34224228954e-14+0j),(-2.12885264972e-14+0j),(-2.34950947586e-14+0j),(3.17523785043e-14+0j),(2.38697950294e-15+0j),(4.11337630624e-14+0j),(4.02733402183e-14+0j),(-3.336220189e-14+0j),(-2.43277620271e-14-1.22402088465e-14j),(-2.43277620271e-14+1.22402088465e-14j),(6.20337115009e-15-1.55344487274e-14j),(6.20337115009e-15+1.55344487274e-14j),(3.69496100383e-14-1.32185928869e-15j),(3.69496100383e-14+1.32185928869e-15j),(1.50018886202e-14+2.98372437868e-15j),(1.50018886202e-14-2.98372437868e-15j),(2.99725522179e-14+0j),(-4.80518402846e-15+1.49186218934e-15j),(-4.80518402846e-15-1.49186218934e-15j),(-7.91033905045e-16-8.82974249272e-15j),(-7.91033905045e-16+8.82974249272e-15j),(1.21777588014e-15+1.91860416443e-15j)
(16.3672704457+0j),(-16.8117352669+0j),(5.5783552425+0j),(7.40400465023+0j),(2.56893338103+0j),(8.55535627533+0j),(4.79695222574+0j),(-10.9796402152+0j),(4.95889288895+0j),(-2.2190699625+0j),(6.02846003396+0j),(5.53865630596+0j),(-1.74872940263+0j),(0.741383788656+0j),(2.6142622934+0j),(1.10493411852+0j),(-3.35172619956+0j),(2.50705479547+0j),(0.548296646688+0j),(3.66019640464+0j),(2.11166731164+0j),(0.0215981532525+0j),(-0.937059200805+0j),(1.49979411083+0j),(0.499417856541+0j),(-2.11846805861+0j),(-1.51659431314+0j),(-2.43272113488+0j),(-0.9407204109+0j),(0.303364005252+0j),(-0.816173394325+0j),(2.88493302155+0j),(-0.0768930359354+0j),(1.78364470344+0j),(-0.901853667755+0j),(1.52665128217+0j),(0.19814094906+0j),(0.145386660612+0j),(-0.334088661322+0j),(-0.413767512618+0j),(-0.424512014437+0j),(1.35047437781+0j),(0.208608735624+0j),(0.340891630182+0j),(-0.428876415545+0j),(-0.614469803297+0j),(0.422776845166+0j),(4.38902386657e-14+0j),(1.01203767588e-14+0j),(2.04870842513e-14+0j),(-8.52651282912e-14+0j),(9.46465128493e-15+0j),(-1.03028696685e-13+0j),(4.37662059372e-14+0j),(2.88241652768e-14+0j),(1.91929805382e-14+0j),(-1.63757896132e-14+0j),(4.25215418431e-14+0j),(-5.35682609382e-14+0j),(-3.84414722276e-14+0j),(3.67206265395e-14+0j),(2.81025203108e-14+5.41233724505e-15j),(2.81025203108e-14-5.41233724505e-15j),(-3.34454686168e-15+7.11410097498e-15j),(-3.34454686168e-15-7.11410097498e-15j),(3.37056771382e-15-1.04811992419e-14j),(3.37056771382e-15+1.04811992419e-14j),(5.46784839628e-15-1.97619698383e-14j),(5.46784839628e-15+1.97619698383e-14j),(9.89139326002e-15+0j),(-6.73419653374e-15+9.84629044964e-15j),(-6.73419653374e-15-9.84629044964e-15j),(-1.47382106519e-14-8.13585310233e-15j),(-1.47382106519e-14+8.13585310233e-15j),(3.44863027024e-15-4.53803661316e-15j)
(-36.7433290015+0j),(3.23030400208+0j),(-6.39083845524+0j),(-12.0734297816+0j),(14.1253027358+0j),(-5.37874699905+0j),(0.377575662889+0j),(-1.03511850691+0j),(-4.95543207045+0j),(-0.5450947074+0j),(-5.71736940701+0j),(-2.00474970378+0j),(-3.85146684757+0j),(-2.42772653309+0j),(0.647169787776+0j),(0.537927005945+0j),(-3.26477849845+0j),(0.434492360334+0j),(-2.6120989187+0j),(2.22230737388+0j),(-1.01961048783+0j),(0.819894849634+0j),(0.0965309256855+0j),(0.899707255175+0j),(2.69331349109+0j),(-0.239217608369+0j),(-2.45573646628+0j),(0.188191123909+0j),(-4.84454501388+0j),(5.78442270831+0j),(0.42234372726+0j),(-0.956437464448+0j),(0.69161723412+0j),(0.0673314079971+0j),(1.37258024381+0j),(-0.697933939772+0j),(-0.832420552311+0j),(0.200771557642+0j),(0.0955853393958+0j),(-0.146694150175+0j),(0.046223763033+0j),(0.135891162415+0j),(-0.0894245493847+0j),(-0.0672421600265+0j),(0.0335514967282+0j),(0.0655428798296+0j),(-0.012477810483+0j),(-6.59715337914e-15+0j),(1.84088855271e-14+0j),(-1.15844833726e-14+0j),(4.71844785466e-16+0j),(-1.85684800869e-14+0j),(-2.19269047363e-14+0j),(-1.43262138264e-14+0j),(-3.19050341702e-14+0j),(2.37448949392e-14+0j),(-2.1371793224e-14+0j),(-3.33066907388e-15+0j),(1.79301018477e-14+0j),(-2.49800180541e-14+0j),(4.32986979604e-14+0j),(3.21270787751e-14+6.5780714209e-15j),(3.21270787751e-14-6.5780714209e-15j),(2.60486077153e-14-3.29423988088e-15j),(2.60486077153e-14+3.29423988088e-15j),(-3.60128593613e-15+1.1841222447e-14j),(-3.60128593613e-15-1.1841222447e-14j),(1.025568519e-14+1.40443212615e-14j),(1.025568519e-14-1.40443212615e-14j),(5.51642065361e-16+0j),(-1.92554305833e-15-6.29357677084e-15j),(-1.92554305833e-15+6.29357677084e-15j),(3.27515792264e-15-3.69496100383e-15j),(3.27515792264e-15+3.69496100383e-15j),(-1.23998034063e-14-2.27248775353e-15j)
(6.21756199673+0j),(-18.5446727798+0j),(0.699291388513+0j),(10.0476404088+0j),(8.11094076915+0j),(-6.48323260677+0j),(8.13866231756+0j),(-8.80254345374+0j),(-1.7842157309+0j),(-1.00335260118+0j),(-2.15093611671+0j),(-1.02530831735+0j),(3.92232029832+0j),(-1.22976076315+0j),(-9.3661337332+0j),(-1.23625145871+0j),(0.807483588353+0j),(-1.39003610437+0j),(-2.00947195926+0j),(-2.35752012532+0j),(-2.80790848299+0j),(-0.258414133043+0j),(0.791826808446+0j),(-2.25300091679+0j),(-1.48240540379+0j),(-3.33034144303+0j),(-0.701182599093+0j),(-1.15480127302+0j),(0.826378545247+0j),(-0.191048507854+0j),(-0.681071027047+0j),(-0.883183561108+0j),(-0.981914019307+0j),(-1.68928889704+0j),(0.569265367054+0j),(-0.452553639973+0j),(-0.400614414593+0j),(-1.70671837723+0j),(0.246627760519+0j),(1.06353695841+0j),(-0.437064651332+0j),(0.853595310465+0j),(-1.01420352159+0j),(-0.516430628653+0j),(0.0307899408569+0j),(-0.324098495153+0j),(0.256202366523+0j),(6.65942995193e-14+0j),(3.76469688756e-14+0j),(4.89192020225e-16+0j),(5.23157905885e-14+0j),(-3.19744231092e-14+0j),(2.50910403565e-14+0j),(-2.60668223118e-14+0j),(5.60246293801e-14+0j),(-2.27179386414e-14+0j),(2.25375273999e-14+0j),(6.05071548421e-15+0j),(-1.38500322322e-14+0j),(1.63757896132e-15+0j),(-1.9928503292e-14+0j),(-1.01307850997e-15+5.66213742559e-15j),(-1.01307850997e-15-5.66213742559e-15j),(-2.0219936836e-14+1.1804793254e-14j),(-2.0219936836e-14-1.1804793254e-14j),(-1.60635393875e-14-9.31373034252e-15j),(-1.60635393875e-14+9.31373034252e-15j),(-1.70002900646e-14-1.30381816454e-14j),(-1.70002900646e-14+1.30381816454e-14j),(-6.41847686111e-16+0j),(8.52443116095e-15+9.31893451295e-15j),(8.52443116095e-15-9.31893451295e-15j),(-7.52176099184e-15+1.01273156528e-14j),(-7.52176099184e-15-1.01273156528e-14j),(8.29891710907e-15+1.57165946923e-15j)
(-38.4276848589+0j),(2.29254107883+0j),(-6.29232919827+0j),(-15.087737993+0j),(12.4066241287+0j),(-4.9215751539+0j),(6.71374786065+0j),(3.18804175296+0j),(-2.64356735021+0j),(-2.93093809119+0j),(-7.55942165792+0j),(-1.63880575959+0j),(-8.0060811238+0j),(-2.84517314667+0j),(-0.719394604294+0j),(0.353882802142+0j),(-2.62357845033+0j),(-0.0524844894467+0j),(0.467391209032+0j),(1.36073284906+0j),(0.321895041399+0j),(0.324485561748+0j),(-1.10592423025+0j),(0.0288705371136+0j),(-3.11217826137+0j),(-0.0523994148628+0j),(0.45008200853+0j),(-0.511166782519+0j),(1.63295110981+0j),(-2.70081770732+0j),(0.277047309316+0j),(0.183241355283+0j),(-0.267645724535+0j),(-0.779759510421+0j),(-0.556559295634+0j),(0.532130033587+0j),(-0.778840902767+0j),(-0.625849509753+0j),(-0.735356617064+0j),(-0.400933121389+0j),(-1.43628061592+0j),(-0.673973878299+0j),(0.985686084709+0j),(0.630683564343+0j),(0.392942639864+0j),(-0.840564637158+0j),(-0.147414068675+0j),(2.9859795192e-14+0j),(-5.87342674496e-14+0j),(3.06595027144e-14+0j),(-3.84969833789e-14+0j),(1.02889918807e-13+0j),(1.31117339208e-13+0j),(8.56086035395e-16+0j),(4.21468415723e-14+0j),(-1.20140009052e-13+0j),(1.1363132657e-13+0j),(3.79696274422e-14+0j),(-4.85722573274e-14+0j),(9.85322934355e-15+0j),(-2.03725925019e-14+0j),(-3.23907567434e-14+5.75928194024e-15j),(-3.23907567434e-14-5.75928194024e-15j),(-1.56125112838e-14-7.81839870623e-15j),(-1.56125112838e-14+7.81839870623e-15j),(1.54112833606e-14-3.14678838542e-15j),(1.54112833606e-14+3.14678838542e-15j),(-1.9859114353e-14-2.59792187762e-14j),(-1.9859114353e-14+2.59792187762e-14j),(-2.53269627493e-16+0j),(-9.3224039599e-15+1.34128819163e-14j),(-9.3224039599e-15-1.34128819163e-14j),(-1.22402088465e-14-1.1411011025e-14j),(-1.22402088465e-14+1.1411011025e-14j),(-7.40379979547e-15-5.35335664686e-15j)
(16.7293669542+0j),(-14.31147486+0j),(10.0472061331+0j),(1.40299446858+0j),(11.3886792+0j),(3.05264255548+0j),(5.44813277057+0j),(-7.68526853943+0j),(4.68443450007+0j),(-0.117749615625+0j),(-3.11084388771+0j),(0.789063689981+0j),(-4.79505397929+0j),(0.823321250819+0j),(2.94805427141+0j),(-4.56815186515+0j),(2.24146425425+0j),(-0.933819552259+0j),(0.271485220341+0j),(-4.99373246061+0j),(-1.06154844166+0j),(2.6373729855+0j),(2.12122768892+0j),(-3.59018347771+0j),(-0.377625071104+0j),(2.30958503353+0j),(-0.169236347824+0j),(2.22234131046+0j),(0.00807276422447+0j),(1.02224407634+0j),(-0.739864304771+0j),(3.21701507134+0j),(0.783514755846+0j),(1.38248938041+0j),(-0.825554910603+0j),(1.98462854955+0j),(0.282752136026+0j),(0.0516401565409+0j),(0.230618539285+0j),(-0.626588886355+0j),(-0.563353694517+0j),(-0.353456973557+0j),(-0.705637780758+0j),(0.0297257050629+0j),(0.336051284653+0j),(0.453577979383+0j),(-0.555024513786+0j),(-3.0938793194e-14+0j),(1.44086131915e-14+0j),(-2.10630124453e-14+0j),(-5.47895062653e-14+0j),(-3.94129173742e-15+0j),(1.58761892521e-14+0j),(1.55526633239e-14+0j),(1.0616507673e-14+0j),(-2.69922972862e-14+0j),(2.78110867669e-14+0j),(-1.83186799063e-14+0j),(3.68316488419e-14+0j),(1.15740750317e-14+0j),(-3.71924713249e-15+0j),(1.32671651443e-14-1.13520304268e-14j),(1.32671651443e-14+1.13520304268e-14j),(7.48012762841e-15-1.57859836314e-16j),(7.48012762841e-15+1.57859836314e-16j),(6.08540995373e-15+2.5708601914e-15j),(6.08540995373e-15-2.5708601914e-15j),(2.14411821631e-14+8.95117313604e-15j),(2.14411821631e-14-8.95117313604e-15j),(8.01789190596e-15+0j),(2.01574867909e-15-1.35308431126e-15j),(2.01574867909e-15+1.35308431126e-15j),(2.24820162487e-15+3.71230823859e-16j),(2.24820162487e-15-3.71230823859e-16j),(-2.51881848712e-15+3.46944695195e-16j)
(-2.42340790988+0j),(-19.1741326188+0j),(-7.25004486761+0j),(11.6732120397+0j),(4.41521895165+0j),(-11.512221867+0j),(3.76661979503+0j),(-2.06419352162+0j),(-5.02335510076+0j),(4.993636947+0j),(-2.65715280949+0j),(-6.57552698077+0j),(0.843525440307+0j),(-2.32143223104+0j),(5.4428248149+0j),(-0.867368444638+0j),(3.14180529427+0j),(-1.29746359801+0j),(1.21158018634+0j),(-1.35666753275+0j),(1.96934317663+0j),(0.507530876612+0j),(-0.287934460228+0j),(-0.455541084242+0j),(0.767475875582+0j),(0.608165180894+0j),(-2.30485291999+0j),(-2.56122746005+0j),(2.68630169918+0j),(0.519139574422+0j),(-1.39054043726+0j),(-0.517921749792+0j),(0.200872053769+0j),(-0.840868992889+0j),(1.71256476203+0j),(2.28243599572+0j),(1.87127543021+0j),(0.580604102429+0j),(0.413781064638+0j),(0.0547027652152+0j),(1.39410416628+0j),(0.350380255718+0j),(1.17344233997+0j),(-0.126227751342+0j),(0.165801921235+0j),(0.0777183734846+0j),(0.259419252064+0j),(-2.74277128787e-14+0j),(3.54716256368e-14+0j),(-1.5092094241e-15+0j),(-7.88258347484e-15+0j),(2.22044604925e-16+0j),(-7.80486786311e-14+0j),(3.53701443134e-14+0j),(-4.07868183672e-14+0j),(6.67660371434e-14+0j),(-6.10067552032e-14+0j),(-2.67286193179e-14+0j),(3.21964677141e-15+0j),(-2.71727085277e-14+0j),(3.46112027927e-14+0j),(2.00256478067e-14-4.0800696155e-15j),(2.00256478067e-14+4.0800696155e-15j),(1.70280456402e-14+2.74259781552e-15j),(1.70280456402e-14-2.74259781552e-15j),(-1.61190505388e-14+1.24796006862e-14j),(-1.61190505388e-14-1.24796006862e-14j),(2.40779618466e-14+1.11022302463e-15j),(2.40779618466e-14-1.11022302463e-15j),(-1.55188362161e-14+0j),(-4.91620633092e-15-1.47729051214e-14j),(-4.91620633092e-15+1.47729051214e-14j),(8.85402862139e-15-9.91220994173e-15j),(8.85402862139e-15+9.91220994173e-15j),(6.27969898304e-15-5.07580089071e-15j)
(-29.8521721065+0j),(-10.7263261987+0j),(-20.0981288735+0j),(-17.2382030168+0j),(2.12139306761+0j),(4.08970654051+0j),(-7.25459091731+0j),(-3.23571204046+0j),(-1.66958879161+0j),(-7.01960605183+0j),(0.67629360567+0j),(0.421688169021+0j),(2.63622522195+0j),(1.99433917289+0j),(2.66083331147+0j),(4.27798267989+0j),(0.132923994703+0j),(-0.152949490936+0j),(-6.96755247373+0j),(-4.26196625381+0j),(1.91340540278+0j),(-1.53872340317+0j),(1.08781838127+0j),(-0.884998994447+0j),(2.40920382264+0j),(-1.77841873978+0j),(0.434185912585+0j),(0.411372261953+0j),(1.76955136998+0j),(-1.64343507954+0j),(0.473364053856+0j),(0.597215926365+0j),(-0.42932477867+0j),(0.112312383644+0j),(-0.477364676432+0j),(0.230783111977+0j),(-2.14862276102+0j),(0.692864758857+0j),(-0.248344406477+0j),(-1.25283996304+0j),(0.947402622199+0j),(0.459408801252+0j),(0.0996844505951+0j),(-0.716958929004+0j),(0.482355717454+0j),(-0.124614451754+0j),(-0.0371832926995+0j),(2.39339797981e-14+0j),(-1.51788304148e-14+0j),(2.17222073662e-14+0j),(-1.31006316906e-14+0j),(1.65423230669e-14+0j),(-3.71924713249e-14+0j),(-1.0162877484e-14+0j),(-7.39686090157e-15+0j),(2.71588307399e-14+0j),(-2.04281036531e-14+0j),(1.86517468137e-14+0j),(-4.27435864481e-15+0j),(2.44526621174e-14+0j),(-2.63677968348e-16+0j),(1.73056013963e-14-1.00197627972e-14j),(1.73056013963e-14+1.00197627972e-14j),(1.76247905159e-15-2.2672835831e-15j),(1.76247905159e-15+2.2672835831e-15j),(6.08540995373e-15-1.6896206656e-15j),(6.08540995373e-15+1.6896206656e-15j),(1.91929805382e-14-6.66133814775e-16j),(1.91929805382e-14+6.66133814775e-16j),(1.13450915329e-15+0j),(-1.36661515437e-14-7.34828864424e-15j),(-1.36661515437e-14+7.34828864424e-15j),(-2.45636844198e-15-1.8627460685e-14j),(-2.45636844198e-15+1.8627460685e-14j),(1.08940634291e-15-6.69950206422e-15j)
(-2.35656393559+0j),(-24.908030959+0j),(-12.110187962+0j),(10.6048385762+0j),(-7.52236743558+0j),(-2.30618689629+0j),(1.17379757992+0j),(6.72166338009+0j),(-0.895552264+0j),(-6.02399749158+0j),(-0.657120749948+0j),(-1.19789030695+0j),(1.62363728666+0j),(1.07380266383+0j),(6.46577485516+0j),(2.49770714911+0j),(2.92684290392+0j),(-0.817863091533+0j),(3.12525290754+0j),(-1.07209355689+0j),(3.55103927978+0j),(-1.2139090857+0j),(-0.00779680390468+0j),(1.83993031268+0j),(-1.88768267383+0j),(-0.7386780166+0j),(-3.10232708544+0j),(-0.442907781222+0j),(2.12725062603+0j),(1.64891906308+0j),(-0.109427335101+0j),(-0.23564397411+0j),(1.78478573349+0j),(-0.324554031782+0j),(1.07151205923+0j),(-2.01576832755+0j),(-1.23606978856+0j),(0.567377511388+0j),(-0.994800468021+0j),(0.0454734823291+0j),(-1.33533658558+0j),(-0.0828652859149+0j),(-1.24588337459+0j),(0.157427155109+0j),(-0.207352558552+0j),(-0.101238108916+0j),(-0.296631729549+0j),(1.02227254439e-14+0j),(2.53894127944e-14+0j),(-4.59736415603e-14+0j),(-1.02695629778e-14+0j),(-5.45119505091e-14+0j),(6.66133814775e-14+0j),(-1.87783816274e-15+0j),(2.53824739005e-14+0j),(-7.46208650426e-14+0j),(6.98885394002e-14+0j),(-4.16333634234e-16+0j),(1.3933298959e-14+0j),(4.42701431069e-14+0j),(-2.772782004e-14+0j),(-9.47852907274e-15-1.71251901548e-14j),(-9.47852907274e-15+1.71251901548e-14j),(-9.57567358739e-16-1.21257170971e-15j),(-9.57567358739e-16+1.21257170971e-15j),(-1.00683350546e-14+1.09807996029e-14j),(-1.00683350546e-14-1.09807996029e-14j),(3.18217674433e-14-1.13103970634e-14j),(3.18217674433e-14+1.13103970634e-14j),(-1.77115266897e-14+0j),(-1.96613558767e-14-1.67713065657e-14j),(-1.96613558767e-14+1.67713065657e-14j),(1.62370117351e-15-1.78503045678e-14j),(1.62370117351e-15+1.78503045678e-14j),(-9.34669008856e-15-1.25975618825e-14j)
(-19.2837801752+0j),(-16.9363941409+0j),(-19.0432898426+0j),(-4.13278727663+0j),(-7.2717218463+0j),(2.50342843385+0j),(-5.28778742441+0j),(0.276607891466+0j),(1.94037150879+0j),(0.551547079577+0j),(1.96518834486+0j),(0.504508998073+0j),(-1.26078627915+0j),(2.53047243132+0j),(-3.51032356322+0j),(-11.339446088+0j),(-0.273367030072+0j),(1.34569438625+0j),(-2.94088986983+0j),(2.35638348389+0j),(5.34604996556+0j),(-4.7716482028+0j),(0.162625938948+0j),(-2.36231149647+0j),(-2.04174570315+0j),(1.04767858457+0j),(0.475390467009+0j),(-1.01299705938+0j),(-0.548194832327+0j),(1.78863203239+0j),(-0.194483062655+0j),(1.04026637991+0j),(0.192657635726+0j),(-2.47707292816+0j),(-0.773099454356+0j),(-0.946964269089+0j),(1.45701054992+0j),(0.181558409868+0j),(0.0704159829946+0j),(-0.29491629435+0j),(0.05867363489+0j),(-0.30758713746+0j),(0.0568082104943+0j),(0.0651754713498+0j),(0.179582701559+0j),(0.00571222797199+0j),(0.0571967503273+0j),(2.61405480595e-14+0j),(6.53643805748e-15+0j),(8.84362028053e-15+0j),(-3.27585181203e-14+0j),(-2.78665979181e-14+0j),(-3.36675132218e-14+0j),(-4.40801908863e-14+0j),(-7.0984884637e-14+0j),(4.02872180061e-14+0j),(-3.80251385934e-14+0j),(-4.28546087505e-14+0j),(3.35842464949e-14+0j),(-1.47104550763e-15+0j),(9.52016243616e-15+0j),(6.98052726733e-15-8.97892871166e-15j),(6.98052726733e-15+8.97892871166e-15j),(3.20576898361e-15-2.75474087985e-15j),(3.20576898361e-15+2.75474087985e-15j),(5.25968157916e-15-4.06272238074e-15j),(5.25968157916e-15+4.06272238074e-15j),(1.11161080341e-14-1.19348975147e-14j),(1.11161080341e-14+1.19348975147e-14j),(1.31249178192e-14+0j),(-3.78516662458e-15-3.50414142147e-15j),(-3.78516662458e-15+3.50414142147e-15j),(1.02695629778e-15-6.41500741416e-15j),(1.02695629778e-15+6.41500741416e-15j),(-2.40779618466e-15+1.6826817717e-15j)
